fitur,importance
advt_mean,0.17945186736452956
advt_median,0.15247412217250547
amihud_per_miliar,0.1351478073282736
volume_median,0.1187621963844451
turnover_bps,0.0677748038960982
market_cap,0.05444130336452882
rasio_mean_median,0.051851857045665785
harga_median,0.045496081996630855
pct_hari_harga_stagnan,0.035730354938245494
beta_ihsg,0.03473624482134031
umur_listing_tahun,0.02660303952170793
rentang_harian_relatif,0.023452351561158782
max_drawdown,0.021879673126248264
volatilitas_tahunan,0.021443971171936242
pct_hari_volume_nol,0.017404023706157713
sektor_Financials,0.0022960631912176096
sektor_Infrastructure,0.0022137671885518015
sektor_Consumer Non-Cyclicals,0.0017940216501580277
sektor_Energy,0.0015565751420308909
sektor_Basic Materials,0.0014754001858128256
sektor_Consumer Cyclicals,0.0011570214115407963
sektor_Industrials,0.0010425135344483956
sektor_Transportation & Logistics,0.0009138284107740727
sektor_Properties & Real Estate,0.00048651384265045147
sektor_Technology,0.00033753376801016935
sektor_Healthcare,7.706327533276897e-05
jumlah_hari_bursa,0.0
sektor_Tidak Diketahui,0.0
