kode,advt_median,advt_mean,rasio_mean_median,market_cap,harga_median,volume_median,turnover_bps,amihud_per_miliar,volatilitas_tahunan,rentang_harian_relatif,max_drawdown,beta_ihsg,pct_hari_volume_nol,pct_hari_harga_stagnan,umur_listing_tahun,jumlah_hari_bursa,sektor_Basic Materials,sektor_Consumer Cyclicals,sektor_Consumer Non-Cyclicals,sektor_Energy,sektor_Financials,sektor_Healthcare,sektor_Industrials,sektor_Infrastructure,sektor_Properties & Real Estate,sektor_Technology,sektor_Tidak Diketahui,sektor_Transportation & Logistics,kelas_likuiditas,kelas_kode,bagian
BAJA,-0.06994744898678494,0.12160662167407561,1.4516557489754387,-0.8361513404738506,-0.5554470127073183,0.07151121578184147,-0.05712269105128724,-0.38314135696889245,0.6351089701720526,1.3516009976451977,0.0468813030806728,-0.24930870024089638,-0.3417570771486425,-0.016198753899882234,-0.0916650754921517,0.0,1,0,0,0,0,0,0,0,0,0,0,0,Tidak Likuid,0,test
PWON,1.0417630533202362,1.0577608310072597,-0.9589440384529886,1.4003632189342476,0.2767534325490727,1.1434769841119972,0.6203033001083357,-0.6497314771298505,-0.7378452670082725,-0.4348277101257933,-0.1119220640091007,1.1273028726475802,-0.3417570771486425,-0.9137050994462137,1.7933841577520941,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Likuid,2,test
BAPA,-0.14997867834529083,-0.22390951084578328,0.40739585823227337,-1.6197338176609162,-0.9347275024185634,0.12182084167823089,0.7472059647379258,-0.446850098082105,-0.5395892774607057,-0.22452110269954476,0.9531664475131854,-0.9052994329185141,-0.3417570771486425,1.2129947193483541,0.2424266546721282,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Menengah,1,test
GHON,-0.4111750153099376,-0.5950910815399579,0.3790260440337839,-0.06838490096093627,1.12777806531316,-1.0410623661813643,-1.0438353847880615,0.4937876393775212,-0.8398570553511627,-0.7355545076638788,0.7396576558046187,-0.6979618634142084,-0.31971772362498746,-0.7576170393511995,-0.6266303302645998,0.0,0,0,0,0,0,0,0,1,0,0,0,0,Tidak Likuid,0,test
PSGO,-0.1322498795064392,-0.25972230701809323,0.1566736048509823,0.5319814614812967,-0.25083286090075124,-0.14381337350066725,-1.0379175382412476,-0.18340244317023954,-0.40714655562709595,0.2517178864551631,0.9739073015648747,-0.8042957624607103,-0.3417570771486425,-0.5625069642324318,-0.7649633709380491,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Tidak Likuid,0,test
JRPT,0.3047692716479437,0.028998842806778734,-0.9601624603228254,1.0754295549811594,0.6245666645740552,0.07464263607608518,-0.8720229607054166,-0.6354159872027854,-1.757166824647282,-1.0890065240476983,1.7601367624381845,-1.049947737144766,-0.3417570771486425,1.1544616968127235,1.3925670785570916,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Tidak Likuid,0,test
HILL,0.8310324060177351,0.7935817992519213,-0.8729744521785823,0.08783394193585259,0.3092647495077498,0.8590992599140577,1.8729340204212366,-0.646066102725119,-0.6432535550241296,-0.4993064956575879,-0.843370184557416,-0.3618882834815018,-0.3417570771486425,0.17891132121888542,-1.0420944372956145,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Menengah,1,test
AMAG,-0.27301833892277727,-0.5804481798158168,-0.32279457555625257,0.25095685165836085,0.1956502297763964,-0.503885689224008,-1.0471766079978926,-0.08534157711527071,-0.8473959514685988,-0.6962962157863651,1.0013092213774566,-0.6408577535800445,-0.3417570771486425,-0.1917978215067732,0.4172610186829413,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Tidak Likuid,0,test
HELI,0.23726478722429792,0.2609167103320925,0.1772127038897685,-0.7224649141680133,0.05130014362254269,0.19889655097159906,0.8058410476127271,-0.3025872877003605,1.1180001827660457,1.4288727283793556,-1.5136783050155167,0.29736905864225166,-0.3417570771486425,-0.8161500618868298,-0.6236079276952641,0.0,0,0,0,0,0,0,0,0,0,0,0,1,Tidak Likuid,0,test
PRIM,0.2349620383917321,0.03893931724226661,-0.6327138654341181,-0.7851624067741443,-0.8709056522758113,0.5834193554939907,0.9111567485347823,-0.5695015962575265,-0.5128725896407822,0.249091884438943,0.8387509380731151,-0.24626247792116351,-0.3417570771486425,0.003312253611994481,-0.635000060456607,0.0,0,0,0,0,0,1,0,0,0,0,0,0,Menengah,1,test
DEAL,-3.5172664825753994,-5.365806350172516,-0.2611785808537514,-1.8299314915543101,-2.020081001525476,-3.185741378482777,-1.122153201878401,-0.5093340294860225,-2.390142587806191,-1.948357512943425,2.163049600528397,-1.2532103459746864,4.859530354433939,3.1640954705360307,-0.6768487114166419,0.0,0,0,0,0,0,0,0,0,0,0,0,1,Tidak Likuid,0,test
PICO,0.14794998896597764,0.22512695112789982,0.5494997800883924,-1.2892722477368552,-0.43117125695973263,0.30964516682121784,1.4315304131940432,-0.4915562222268677,1.0170303046711893,1.396449480151401,-0.7479474593578261,0.5509769083628148,-0.3417570771486425,-0.5234849492086783,1.2026207016995991,0.0,1,0,0,0,0,0,0,0,0,0,0,0,Tidak Likuid,0,test
LMAX,-0.04926506320530071,-0.27236191286332734,-0.33775409431516823,-1.8299314915543101,-1.2516836639399096,0.35916934861622785,1.4819481345730758,-0.24782894264302555,0.731918037486861,1.6027836156632558,0.0560422048012259,0.8693132727784355,-0.3417570771486425,0.12037829868325503,-1.0795257306543127,0.0,0,1,0,0,0,0,0,0,0,0,0,0,Tidak Likuid,0,test
DART,-0.286067438756041,-0.06796020665125362,1.9809901079656933,-0.33525663495417063,-0.26181347556197276,-0.30756701666414565,-0.8850052016093697,0.364462767421159,1.6088312942296759,1.0872452284875818,-0.8849980508634189,-1.3739634979502788,-0.09932418838843741,-0.5625069642324318,1.7443282391267196,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Tidak Likuid,0,test
ELSA,0.9819042756237284,1.0487512519010258,-0.7368948410685771,0.5719174757004114,0.3720785805780152,1.0274328981277732,1.6930281934079554,-0.6494393865010555,-0.765435712310657,-0.6965225411944895,0.610144630504477,0.48685825622222595,-0.3417570771486425,-0.7771280468630763,0.23707932704945706,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Likuid,2,test
