kode,advt_median,advt_mean,rasio_mean_median,market_cap,harga_median,volume_median,turnover_bps,amihud_per_miliar,volatilitas_tahunan,rentang_harian_relatif,max_drawdown,beta_ihsg,pct_hari_volume_nol,pct_hari_harga_stagnan,umur_listing_tahun,jumlah_hari_bursa,sektor_Basic Materials,sektor_Consumer Cyclicals,sektor_Consumer Non-Cyclicals,sektor_Energy,sektor_Financials,sektor_Healthcare,sektor_Industrials,sektor_Infrastructure,sektor_Properties & Real Estate,sektor_Technology,sektor_Tidak Diketahui,sektor_Transportation & Logistics,kelas_likuiditas,kelas_kode
MGNA,-0.6274065944115148,-1.068310863035546,-0.2986231011146365,-1.3256462927628676,-1.536387103411382,-0.22186234421789156,-0.8255067887872096,3.31933237166629,0.8980870260446863,-0.8393254601576738,-0.1769441899186056,-0.7585198164956732,-0.12136354191209243,0.6081534864801742,-0.3078831054523329,0.0,0,1,0,0,0,0,0,0,0,0,0,0,Tidak Likuid,0
ROTI,0.39148146927239247,0.2741430233885815,-0.5768963502078749,0.8389982452022493,0.8092131979917857,0.0973697464609448,-0.610536279068367,-0.6412646642569232,-1.4972616121074822,-1.1208265051570656,0.7049047096217524,-0.513552488938122,-0.3417570771486425,0.8422855766226955,0.03411336989328687,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Tidak Likuid,0
NEST,0.7382271806697566,0.7868172493977972,-0.4783657646824936,0.16807529285026798,0.20937880200824413,0.7605648824536556,1.3048350957842283,-0.6449811139992325,0.08712895290011513,0.35968457236992657,-0.9561755373352734,0.9679599121510309,-0.3417570771486425,-0.862858231384959,-1.1573897956155645,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Menengah,1
CBRE,-0.11138235059390214,-0.13938979185548894,0.5380198422090371,-1.0768604171544343,-1.401218494911513,0.37575427963960717,0.1269212427290847,0.2151772702321536,1.0595506754031614,-0.5806919057998866,-0.30705858426826255,0.3465706992677222,-0.31971772362498746,-0.03570976141175921,-1.0302373195236045,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Likuid,2
OBMD,0.14746015339745144,-0.10870412571219593,-0.7152578246554874,-0.879519436954617,-0.1266448670621036,0.15518008740752767,0.7015740173973734,-0.535021562578154,-0.20601362866198414,0.167728799589851,-0.26172657363045354,0.17259465566697046,-0.3417570771486425,-0.5039739416968015,-0.937937794906194,0.0,1,0,0,0,0,0,0,0,0,0,0,0,Tidak Likuid,0
INTA,-0.4215755795209505,-0.7774385800412431,-0.2851227860937965,-1.5552553990305586,-1.7973327009462232,0.12064446425114973,-0.29163942303750334,1.2587803742931154,1.2314757050832394,-0.47606260538155826,-1.5242133419941524,-1.1234795454070932,-0.3417570771486425,0.9593516216939558,1.464639755210485,0.0,0,0,0,0,0,0,1,0,0,0,0,0,Tidak Likuid,0
SUNI,0.4100739052838921,0.27916735075337296,-0.6461652296660798,0.30231933487132673,0.6796911615988745,0.17198931237729412,-0.011800307489170766,-0.6187415758862355,0.19113018761942935,0.16868855145920014,0.043734918611230696,0.6492360091640311,-0.3417570771486425,-0.7771280468630763,-1.0302373195236045,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Tidak Likuid,0
OASA,1.0461782539341569,1.0402630167292883,-1.0241752746833572,-0.07458236310725443,-0.3576572429046299,1.4035311305101075,3.00805314874948,-0.6485356950197534,0.14662387251567516,0.6252035695082863,0.23773825395807824,0.6040432584591833,0.23126611446638767,-0.5039739416968015,-0.48016005190447714,0.0,0,0,0,0,0,0,0,1,0,0,0,0,Likuid,2
KOKA,0.286379842333884,0.3552103481128947,0.2830315980946113,-0.7988577990926038,-0.7862452300461406,0.6168548191597923,1.1402788824658094,-0.5905682880747684,0.8569024861917102,1.2237765017746935,-0.4424130572044789,-0.8682306009710258,-0.3417570771486425,-0.38690789662554087,-1.094172758490325,0.0,0,0,0,0,0,0,0,1,0,0,0,0,Menengah,1
TKIM,0.8516886084712971,0.8670326231951512,-0.7369845625043555,1.3899946587506145,1.9212830866938995,0.23665791039061498,0.012991039653103087,-0.6478600096436126,-0.5957351914997052,-0.5163427761193203,-0.32926701802851155,1.1722302159361366,-0.3417570771486425,-0.9722381219818439,1.7524654768133932,0.0,1,0,0,0,0,0,0,0,0,0,0,0,Likuid,2
