kode,nama_perusahaan,tanggal_pencatatan,jumlah_saham,papan_pencatatan,sektor,ticker_yf
APLN,Agung Podomoro Land Tbk.,2010-11-11,22699326779.0,Utama,Properties & Real Estate,APLN.JK
ARCI,Archi Indonesia Tbk.,2021-06-28,24835000000.0,Pengembangan,Basic Materials,ARCI.JK
AREA,Dunia Virtual Online Tbk.,2024-04-01,2539601000.0,Pengembangan,Technology,AREA.JK
ARGO,Argo Pantes Tbk,1991-01-07,3174339029.0,Pengembangan,Consumer Cyclicals,ARGO.JK
ARII,Atlas Resources Tbk.,2011-11-08,3431000000.0,Pengembangan,Energy,ARII.JK
ARKA,Arkha Jayanti Persada Tbk.,2019-07-10,2000000000.0,Pemantauan Khusus,Industrials,ARKA.JK
ARKO,Arkora Hydro Tbk.,2022-07-08,2928495000.0,Pengembangan,Infrastructure,ARKO.JK
ARMY,Armidian Karyatama Tbk.,2017-06-21,9006250000.0,Pemantauan Khusus,Properties & Real Estate,ARMY.JK
ARNA,Arwana Citramulia Tbk.,2001-07-17,7341430976.0,Utama,Industrials,ARNA.JK
ARTA,Arthavest Tbk,2002-11-05,446674175.0,Pemantauan Khusus,Consumer Cyclicals,ARTA.JK
ARTI,Ratu Prabu Energi Tbk,2003-04-30,7840000000.0,Pemantauan Khusus,Energy,ARTI.JK
ARTO,Bank Jago Tbk.,2016-01-12,13718448700.0,Utama,Financials,ARTO.JK
ASBI,Asuransi Bintang Tbk.,1989-11-29,348386472.0,Pengembangan,Financials,ASBI.JK
ASDM,Asuransi Dayin Mitra Tbk.,1989-12-15,384000000.0,Pengembangan,Financials,ASDM.JK
ASGR,Astra Graphia Tbk.,1989-11-15,1348780500.0,Utama,Industrials,ASGR.JK
ASHA,Cilacap Samudera Fishing Indus,2022-05-27,5000000000.0,Pemantauan Khusus,Consumer Non-Cyclicals,ASHA.JK
ASII,Astra International Tbk.,1990-04-04,40483553140.0,Utama,Industrials,ASII.JK
ASJT,Asuransi Jasa Tania Tbk.,2003-12-23,1400000000.0,Pengembangan,Financials,ASJT.JK
ASLC,Autopedia Sukses Lestari Tbk.,2022-01-25,12746354780.0,Pengembangan,Consumer Cyclicals,ASLC.JK
ASLI,Asri Karya Lestari Tbk.,2024-01-05,6250000000.0,Pengembangan,Infrastructure,ASLI.JK
ASMI,Asuransi Maximus Graha Persada,2014-01-16,8958380460.0,Pemantauan Khusus,Financials,ASMI.JK
ASPI,Andalan Sakti Primaindo Tbk.,2020-02-17,681823317.0,Pengembangan,Properties & Real Estate,ASPI.JK
ASRI,Alam Sutera Realty Tbk.,2007-12-18,19649411888.0,Utama,Properties & Real Estate,ASRI.JK
ASRM,Asuransi Ramayana Tbk.,1990-03-19,1217135360.0,Pengembangan,Financials,ASRM.JK
ASSA,Adi Sarana Armada Tbk.,2012-11-12,3691137517.0,Utama,Transportation & Logistics,ASSA.JK
ATAP,Trimitra Prawara Goldland Tbk.,2020-12-11,1250000000.0,Pemantauan Khusus,Properties & Real Estate,ATAP.JK
ATIC,Anabatic Technologies Tbk.,2015-07-08,2315361355.0,Pengembangan,Technology,ATIC.JK
ATLA,Atlantis Subsea Indonesia Tbk.,2024-04-16,6199526452.0,Pengembangan,Energy,ATLA.JK
AUTO,Astra Otoparts Tbk.,1998-06-15,4819733000.0,Utama,Consumer Cyclicals,AUTO.JK
AVIA,Avia Avian Tbk.,2021-12-08,61953555600.0,Utama,Basic Materials,AVIA.JK
AWAN,Era Digital Media Tbk.,2023-04-18,3435000000.0,Pengembangan,Technology,AWAN.JK
AXIO,Tera Data Indonusa Tbk.,2022-07-20,5840126500.0,Utama,Technology,AXIO.JK
AYAM,Janu Putra Sejahtera Tbk.,2023-11-30,4000000000.0,Pengembangan,Consumer Non-Cyclicals,AYAM.JK
AYLS,Arkayana Lestari Grup Tbk,2020-02-12,853423236.0,Pengembangan,Basic Materials,AYLS.JK
PTBA,Bukit Asam Tbk.,2002-12-23,11520659250.0,Utama,Energy,PTBA.JK
BABP,Bank MNC Internasional Tbk.,2002-07-15,44014333126.0,Pengembangan,Financials,BABP.JK
BABY,Multitrend Indo Tbk.,2023-09-07,2616226706.0,Pengembangan,Consumer Cyclicals,BABY.JK
BACA,Bank Capital Indonesia Tbk.,2007-10-04,19753494636.0,Utama,Financials,BACA.JK
BAIK,Bersama Mencapai Puncak Tbk.,2024-02-15,1125000000.0,Pengembangan,Consumer Cyclicals,BAIK.JK
BAJA,Saranacentral Bajatama Tbk.,2011-12-21,1800000000.0,Pengembangan,Basic Materials,BAJA.JK
BALI,Bali Towerindo Sentra Tbk.,2014-03-13,3934592500.0,Utama,Infrastructure,BALI.JK
BANK,Bank Aladin Syariah Tbk.,2021-02-01,14621940588.0,Utama,Financials,BANK.JK
BAPA,Bekasi Asri Pemula Tbk.,2008-01-14,661784520.0,Pengembangan,Properties & Real Estate,BAPA.JK
BAPI,Bhakti Agung Propertindo Tbk.,2019-09-16,5591980103.0,Pemantauan Khusus,Properties & Real Estate,BAPI.JK
BATA,Sepatu Bata Tbk.,1982-03-24,1300000000.0,Pengembangan,Consumer Cyclicals,BATA.JK
BATR,Benteng Api Technic Tbk.,2024-06-10,3025000000.0,Pengembangan,Basic Materials,BATR.JK
BAUT,Mitra Angkasa Sejahtera Tbk.,2022-01-28,4800139307.0,Pemantauan Khusus,Consumer Cyclicals,BAUT.JK
BAYU,Bayu Buana Tbk,1989-10-30,353220780.0,Pengembangan,Consumer Cyclicals,BAYU.JK
BBCA,Bank Central Asia Tbk.,2000-05-31,122042299500.0,Utama,Financials,BBCA.JK
BBHI,Allo Bank Indonesia Tbk.,2015-08-12,21512953877.0,Utama,Financials,BBHI.JK
BBKP,Bank KB Bukopin Tbk.,2006-07-10,185819884852.0,Utama,Financials,BBKP.JK
BBLD,Buana Finance Tbk.,1990-05-07,1645796054.0,Pengembangan,Financials,BBLD.JK
BBMD,Bank Mestika Dharma Tbk.,2013-07-08,4049189100.0,Pengembangan,Financials,BBMD.JK
BBNI,Bank Negara Indonesia (Persero) Tbk.,1996-11-25,36924339786.0,Utama,Financials,BBNI.JK
BBRI,Bank Rakyat Indonesia (Persero) Tbk.,2003-11-10,150043411587.0,Utama,Financials,BBRI.JK
BBRM,Pelayaran Nasional Bina Buana,2013-01-09,8479490328.0,Pengembangan,Energy,BBRM.JK
BBSI,Krom Bank Indonesia Tbk.,2020-09-07,3637976068.0,Pengembangan,Financials,BBSI.JK
BBSS,Bumi Benowo Sukses Sejahtera T,2020-04-15,4800016020.0,Pengembangan,Properties & Real Estate,BBSS.JK
BBTN,Bank Tabungan Negara (Persero),2009-12-17,13894099969.0,Utama,Financials,BBTN.JK
BBYB,Bank Neo Commerce Tbk.,2015-01-13,13216977523.0,Utama,Financials,BBYB.JK
BCAP,MNC Kapital Indonesia Tbk.,2001-06-08,42618850927.0,Utama,Financials,BCAP.JK
BCIC,Bank JTrust Indonesia Tbk.,1997-06-25,17926071041.0,Pengembangan,Financials,BCIC.JK
BCIP,Bumi Citra Permai Tbk.,2009-12-11,1429915525.0,Pengembangan,Properties & Real Estate,BCIP.JK
BDKR,Berdikari Pondasi Perkasa Tbk.,2023-03-03,4725101522.0,Utama,Infrastructure,BDKR.JK
BDMN,Bank Danamon Indonesia Tbk.,1989-12-06,9675817341.0,Utama,Financials,BDMN.JK
BEBS,Berkah Beton Sadaya Tbk.,2021-03-10,45000000000.0,Pemantauan Khusus,Basic Materials,BEBS.JK
BEEF,Estika Tata Tiara Tbk.,2019-01-10,7186061591.0,Pengembangan,Consumer Non-Cyclicals,BEEF.JK
BEER,Jobubu Jarum Minahasa Tbk.,2023-01-06,4000000000.0,Pengembangan,Consumer Non-Cyclicals,BEER.JK
BEKS,Bank Pembangunan Daerah Banten,2001-07-13,51351733883.0,Pemantauan Khusus,Financials,BEKS.JK
BELI,Global Digital Niaga Tbk.,2022-11-08,128110737143.0,Ekonomi Baru,Technology,BELI.JK
BELL,Trisula Textile Industries Tbk,2017-10-03,7250000000.0,Pengembangan,Consumer Cyclicals,BELL.JK
BESS,Batulicin Nusantara Maritim Tb,2020-03-09,3440455528.0,Pengembangan,Energy,BESS.JK
BEST,Bekasi Fajar Industrial Estate,2012-04-10,9647311150.0,Utama,Properties & Real Estate,BEST.JK
BFIN,BFI Finance Indonesia Tbk.,1990-05-16,15967115620.0,Utama,Financials,BFIN.JK
BGTG,Bank Ganesha Tbk.,2016-05-12,23731287132.0,Pengembangan,Financials,BGTG.JK
BHAT,Bhakti Multi Artha Tbk.,2020-04-15,5000000000.0,Pengembangan,Financials,BHAT.JK
BHIT,MNC Asia Holding Tbk.,1997-11-24,86068156705.0,Pemantauan Khusus,Industrials,BHIT.JK
BIKA,Binakarya Jaya Abadi Tbk.,2015-07-14,592280000.0,Pemantauan Khusus,Properties & Real Estate,BIKA.JK
BIKE,Sepeda Bersama Indonesia Tbk.,2022-03-21,1293916404.0,Pengembangan,Consumer Cyclicals,BIKE.JK
BIMA,Primarindo Asia Infrastructure,1994-08-30,608175716.0,Pengembangan,Consumer Cyclicals,BIMA.JK
BINA,Bank Ina Perdana Tbk.,2014-01-16,6073369498.0,Utama,Financials,BINA.JK
BINO,Perma Plasindo Tbk.,2021-11-25,2275316111.0,Pengembangan,Industrials,BINO.JK
BIPI,Astrindo Nusantara Infrastrukt,2010-02-11,63710196917.0,Pengembangan,Energy,BIPI.JK
BIPP,Bhuwanatala Indah Permai Tbk.,1995-10-23,5028669376.0,Pemantauan Khusus,Properties & Real Estate,BIPP.JK
BIRD,Blue Bird Tbk.,2014-11-05,2502100000.0,Utama,Transportation & Logistics,BIRD.JK
BISI,BISI International Tbk.,2007-05-28,3000000000.0,Utama,Consumer Non-Cyclicals,BISI.JK
BJBR,Bank Pembangunan Daerah Jawa B,2010-07-08,10416229249.0,Utama,Financials,BJBR.JK
BJTM,Bank Pembangunan Daerah Jawa T,2012-07-12,14865343101.0,Utama,Financials,BJTM.JK
BKDP,Bukit Darmo Property Tbk.,2007-06-15,7513992252.0,Pemantauan Khusus,Properties & Real Estate,BKDP.JK
BKSL,Sentul City Tbk.,1997-07-28,167708902705.0,Pemantauan Khusus,Properties & Real Estate,BKSL.JK
BKSW,Bank QNB Indonesia Tbk.,2002-11-21,34806467881.0,Pengembangan,Financials,BKSW.JK
BLES,Superior Prima Sukses Tbk.,2024-07-08,8890206400.0,Utama,Basic Materials,BLES.JK
BLTA,Berlian Laju Tanker Tbk,1990-03-26,25940187103.0,Pemantauan Khusus,Transportation & Logistics,BLTA.JK
BLTZ,Graha Layar Prima Tbk.,2014-04-10,873937142.0,Pemantauan Khusus,Consumer Cyclicals,BLTZ.JK
BLUE,Berkah Prima Perkasa Tbk.,2019-07-08,418000000.0,Pengembangan,Industrials,BLUE.JK
BMAS,Bank Maspion Indonesia Tbk.,2013-07-11,17921635680.0,Pemantauan Khusus,Financials,BMAS.JK
BMBL,Lavender Bina Cendikia Tbk.,2023-01-11,1030080995.0,Akselerasi,Consumer Cyclicals,BMBL.JK
BMHS,Bundamedik Tbk.,2021-07-06,8603416176.0,Utama,Healthcare,BMHS.JK
BMRI,Bank Mandiri (Persero) Tbk.,2003-07-14,92399999996.0,Utama,Financials,BMRI.JK
BMSR,Bintang Mitra Semestaraya Tbk,1999-12-29,1159200024.0,Pengembangan,Basic Materials,BMSR.JK
BMTR,Global Mediacom Tbk.,1995-07-17,16583997586.0,Utama,Consumer Cyclicals,BMTR.JK
BNBA,Bank Bumi Arta Tbk.,2006-06-01,3354120000.0,Pengembangan,Financials,BNBA.JK
BNBR,Bakrie & Brothers Tbk,1989-08-28,160057457509.0,Pemantauan Khusus,Industrials,BNBR.JK
BNGA,Bank CIMB Niaga Tbk.,1989-11-29,24890783784.0,Utama,Financials,BNGA.JK
BNII,Bank Maybank Indonesia Tbk.,1989-11-21,75357433911.0,Utama,Financials,BNII.JK
BNLI,Bank Permata Tbk.,1990-01-15,35819545925.0,Pengembangan,Financials,BNLI.JK
BOAT,Newport Marine Services Tbk.,2024-11-12,3501680000.0,Pengembangan,Energy,BOAT.JK
BOBA,Formosa Ingredient Factory Tbk,2021-11-01,1155750000.0,Pengembangan,Consumer Non-Cyclicals,BOBA.JK
BOGA,Apollo Global Interactive Tbk,2016-12-19,3803526210.0,Pengembangan,Consumer Cyclicals,BOGA.JK
BOLA,Bali Bintang Sejahtera Tbk.,2019-06-17,6000000000.0,Utama,Consumer Cyclicals,BOLA.JK
BOLT,Garuda Metalindo Tbk.,2015-07-07,2343750000.0,Pengembangan,Consumer Cyclicals,BOLT.JK
BOSS,Borneo Olah Sarana Sukses Tbk.,2018-02-15,1400000000.0,Pemantauan Khusus,Energy,BOSS.JK
BPFI,Woori Finance Indonesia Tbk.,2009-06-01,2673995362.0,Pengembangan,Financials,BPFI.JK
BPII,Batavia Prosperindo Internasio,2014-07-08,10309973240.0,Pengembangan,Financials,BPII.JK
BPTR,Batavia Prosperindo Trans Tbk.,2018-07-09,3534000000.0,Pengembangan,Transportation & Logistics,BPTR.JK
BRPT,Barito Pacific Tbk.,1993-10-01,93747218044.0,Utama,Basic Materials,BRPT.JK
BRAM,Indo Kordsa Tbk.,1990-09-05,450056980.0,Pengembangan,Consumer Cyclicals,BRAM.JK
BREN,Barito Renewables Energy Tbk.,2023-10-09,133786220000.0,Utama,Infrastructure,BREN.JK
BRIS,Bank Syariah Indonesia Tbk.,2018-05-09,45667877639.0,Utama,Financials,BRIS.JK
BRMS,Bumi Resources Minerals Tbk.,2010-12-09,141784040338.0,Utama,Basic Materials,BRMS.JK
BRNA,Berlina Tbk.,1989-11-06,979110000.0,Pemantauan Khusus,Basic Materials,BRNA.JK
BSBK,Wulandari Bangun Laksana Tbk.,2022-11-08,25091882375.0,Utama,Properties & Real Estate,BSBK.JK
BSDE,Bumi Serpong Damai Tbk.,2008-06-06,21171365812.0,Utama,Properties & Real Estate,BSDE.JK
BSIM,Bank Sinarmas Tbk.,2010-12-13,19517921842.0,Utama,Financials,BSIM.JK
BSML,Bintang Samudera Mandiri Lines,2021-12-16,1850225000.0,Pengembangan,Energy,BSML.JK
BSSR,Baramulti Suksessarana Tbk.,2012-11-08,2616500000.0,Pengembangan,Energy,BSSR.JK
BSWD,Bank Of India Indonesia Tbk.,2002-05-01,3651978177.0,Pemantauan Khusus,Financials,BSWD.JK
BTEK,Bumi Teknokultura Unggul Tbk,2004-05-14,46277496376.0,Pemantauan Khusus,Consumer Non-Cyclicals,BTEK.JK
BTEL,Bakrie Telecom Tbk.,2006-02-03,36822665755.0,Pemantauan Khusus,Infrastructure,BTEL.JK
BTON,Betonjaya Manunggal Tbk.,2001-07-18,720000000.0,Pengembangan,Basic Materials,BTON.JK
BTPN,Bank SMBC Indonesia Tbk.,2008-03-12,10536203690.0,Utama,Financials,BTPN.JK
BTPS,Bank BTPN Syariah Tbk.,2018-05-08,7626663000.0,Utama,Financials,BTPS.JK
BUAH,Segar Kumala Indonesia Tbk.,2022-08-09,1000000000.0,Pengembangan,Consumer Non-Cyclicals,BUAH.JK
BUDI,Budi Starch & Sweetener Tbk.,1995-05-08,4498997362.0,Utama,Consumer Non-Cyclicals,BUDI.JK
BUKA,Bukalapak.com Tbk.,2021-08-06,103121636167.0,Ekonomi Baru,Technology,BUKA.JK
BUKK,Bukaka Teknik Utama Tbk.,2015-06-29,2640452000.0,Pengembangan,Infrastructure,BUKK.JK
BULL,Buana Lintas Lautan Tbk.,2011-05-23,14117801449.0,Pengembangan,Energy,BULL.JK
BUMI,Bumi Resources Tbk.,1990-07-30,371322136553.0,Utama,Energy,BUMI.JK
BUVA,Bukit Uluwatu Villa Tbk.,2010-07-12,20590473213.0,Pengembangan,Consumer Cyclicals,BUVA.JK
BVIC,Bank Victoria International Tb,1999-06-30,15690050343.0,Utama,Financials,BVIC.JK
BWPT,Eagle High Plantations Tbk.,2009-10-27,31525291000.0,Utama,Consumer Non-Cyclicals,BWPT.JK
BYAN,Bayan Resources Tbk.,2008-08-12,33333335000.0,Utama,Energy,BYAN.JK
CAKK,Cahayaputra Asa Keramik Tbk.,2018-10-31,1203300219.0,Pengembangan,Industrials,CAKK.JK
CAMP,Campina Ice Cream Industry Tbk,2017-12-19,5885000000.0,Pengembangan,Consumer Non-Cyclicals,CAMP.JK
CANI,Capitol Nusantara Indonesia Tb,2014-01-16,833440000.0,Pemantauan Khusus,Energy,CANI.JK
CARE,Metro Healthcare Indonesia Tbk,2020-03-13,33250000000.0,Pengembangan,Healthcare,CARE.JK
CARS,Industri dan Perdagangan Bintr,2017-04-10,15000000000.0,Utama,Consumer Cyclicals,CARS.JK
CASA,Capital Financial Indonesia Tb,2016-07-19,54476269803.0,Pengembangan,Financials,CASA.JK
CASH,Cashlez Worldwide Indonesia Tb,2020-05-04,1431125517.0,Akselerasi,Technology,CASH.JK
CASS,Cardig Aero Services Tbk.,2011-12-05,2086950000.0,Utama,Infrastructure,CASS.JK
CBMF,Cahaya Bintang Medan Tbk.,2020-04-09,1875000000.0,Pemantauan Khusus,Consumer Cyclicals,CBMF.JK
CBPE,Citra Buana Prasida Tbk.,2023-01-06,1356250000.0,Pengembangan,Properties & Real Estate,CBPE.JK
CBRE,Cakra Buana Resources Energi T,2023-01-09,4538057561.0,Pemantauan Khusus,Energy,CBRE.JK
CBUT,Citra Borneo Utama Tbk.,2022-11-08,3125000000.0,Utama,Consumer Non-Cyclicals,CBUT.JK
CCSI,Communication Cable Systems In,2019-06-18,1199999998.0,Pengembangan,Industrials,CCSI.JK
CEKA,Wilmar Cahaya Indonesia Tbk.,1996-07-09,595000000.0,Pengembangan,Consumer Non-Cyclicals,CEKA.JK
CENT,Centratama Telekomunikasi Indo,2001-11-01,31183464900.0,Pemantauan Khusus,Infrastructure,CENT.JK
CFIN,Clipan Finance Indonesia Tbk.,1990-08-27,3984520457.0,Utama,Financials,CFIN.JK
CGAS,Citra Nusantara Gemilang Tbk.,2024-01-08,1771485574.0,Pengembangan,Energy,CGAS.JK
CHEM,Chemstar Indonesia Tbk.,2022-07-08,1700014594.0,Pengembangan,Basic Materials,CHEM.JK
CHIP,Pelita Teknologi Global Tbk.,2023-02-08,806000000.0,Akselerasi,Technology,CHIP.JK
CINT,Chitose Internasional Tbk.,2014-06-27,1000000000.0,Pengembangan,Consumer Cyclicals,CINT.JK
CITA,Cita Mineral Investindo Tbk.,2002-03-20,3960361250.0,Pengembangan,Basic Materials,CITA.JK
CITY,Natura City Developments Tbk.,2018-09-28,5405188966.0,Pengembangan,Properties & Real Estate,CITY.JK
CLAY,Citra Putra Realty Tbk.,2019-01-18,2570000000.0,Pemantauan Khusus,Consumer Cyclicals,CLAY.JK
CLEO,Sariguna Primatirta Tbk.,2017-05-05,12000000000.0,Utama,Consumer Non-Cyclicals,CLEO.JK
CLPI,Colorpak Indonesia Tbk.,2001-11-30,306338500.0,Pengembangan,Basic Materials,CLPI.JK
CMNP,Citra Marga Nusaphala Persada,1995-01-10,5437498079.0,Utama,Infrastructure,CMNP.JK
CMNT,Cemindo Gemilang Tbk.,2021-09-08,17125504000.0,Utama,Basic Materials,CMNT.JK
CMPP,AirAsia Indonesia Tbk.,1994-12-08,10685124441.0,Pemantauan Khusus,Transportation & Logistics,CMPP.JK
CMRY,Cisarua Mountain Dairy Tbk.,2021-12-06,7934683000.0,Utama,Consumer Non-Cyclicals,CMRY.JK
CNKO,Exploitasi Energi Indonesia Tb,2001-11-20,8956361206.0,Pemantauan Khusus,Energy,CNKO.JK
CNMA,Nusantara Sejahtera Raya Tbk.,2023-08-02,83345000000.0,Utama,Consumer Cyclicals,CNMA.JK
CNTX,Century Textile Industry Tbk.,1979-05-22,70000000.0,Pemantauan Khusus,Consumer Cyclicals,CNTX.JK
COAL,Black Diamond Resources Tbk.,2022-09-07,6250000000.0,Pemantauan Khusus,Energy,COAL.JK
COCO,Wahana Interfood Nusantara Tbk,2019-03-20,889863981.0,Pengembangan,Consumer Non-Cyclicals,COCO.JK
COWL,Cowell Development Tbk.,2007-12-19,4871214021.0,Pemantauan Khusus,Properties & Real Estate,COWL.JK
CPIN,Charoen Pokphand Indonesia Tbk,1991-03-18,16398000000.0,Utama,Consumer Non-Cyclicals,CPIN.JK
CPRI,Capri Nusa Satu Properti Tbk.,2019-04-11,2433379958.0,Pemantauan Khusus,Properties & Real Estate,CPRI.JK
CPRO,Central Proteina Prima Tbk.,2006-11-28,59572382787.0,Pengembangan,Consumer Non-Cyclicals,CPRO.JK
CRAB,Toba Surimi Industries Tbk.,2022-08-10,1950000000.0,Pengembangan,Consumer Non-Cyclicals,CRAB.JK
CRSN,Carsurin Tbk.,2023-07-10,2892000000.0,Pengembangan,Industrials,CRSN.JK
CSAP,Catur Sentosa Adiprana Tbk.,2007-12-12,5683175151.0,Pengembangan,Consumer Cyclicals,CSAP.JK
CSIS,Cahayasakti Investindo Sukses,2017-05-10,1307000000.0,Pemantauan Khusus,Properties & Real Estate,CSIS.JK
CSMI,Cia Selera Murni Tbk.,2020-04-09,816061500.0,Pemantauan Khusus,Consumer Cyclicals,CSMI.JK
CSRA,Cisadane Sawit Raya Tbk.,2020-01-09,2050000000.0,Pengembangan,Consumer Non-Cyclicals,CSRA.JK
CTBN,Citra Tubindo Tbk.,1989-11-28,800371500.0,Pemantauan Khusus,Basic Materials,CTBN.JK
CTRA,Ciputra Development Tbk.,1994-03-28,18535695255.0,Utama,Properties & Real Estate,CTRA.JK
CTTH,Citatah Tbk.,1996-07-03,1230839821.0,Pemantauan Khusus,Industrials,CTTH.JK
CUAN,Petrindo Jaya Kreasi Tbk.,2023-03-08,11241890000.0,Utama,Energy,CUAN.JK
CYBR,ITSEC Asia Tbk.,2023-08-08,6449584143.0,Pengembangan,Technology,CYBR.JK
DAAZ,Daaz Bara Lestari Tbk.,2024-11-11,1997000000.0,Utama,Basic Materials,DAAZ.JK
DADA,Diamond Citra Propertindo Tbk.,2020-02-14,7431530800.0,Pemantauan Khusus,Properties & Real Estate,DADA.JK
DART,Duta Anggada Realty Tbk.,1990-05-08,3141390962.0,Pengembangan,Properties & Real Estate,DART.JK
DATA,Remala Abadi Tbk.,2024-05-07,1375000000.0,Pengembangan,Infrastructure,DATA.JK
DAYA,Duta Intidaya Tbk.,2016-06-28,2420547025.0,Pengembangan,Consumer Non-Cyclicals,DAYA.JK
