strategi,akurasi,f1_makro
Tebak kelas mayoritas,0.5168539325842697,0.2271604938271605
Salin kelas tahun lalu,0.702247191011236,0.6590391425016748
Model hasil CI,0.7247191011235955,0.7118045815801777
